Item,Qty,Reference(s),Value,Datasheet,Partnum
1,5,"C1, C5, C10, C11, C15",1uF,~,GRM155C81A105KA12D
2,5,"C2, C4, C13, C17, C18",DNP,~,
3,1,C3,470nF,~,GRT155R61C474KE01D
4,1,C6,47nF,~,GRM155R71E473KA88D
5,4,"C7, C8, C9, C16",2.2uF,~,GRM155R61C225KE11D
6,1,C12,0.5pF,~,GRM1885C1HR50BA01D
7,1,C14,4.7uF,~,CL05A475KP5NRNC
8,1,C19,1uF,~,TMK107B7105KA-T
9,2,"H1, H2",eC_Registration,https://www.eurocircuits.com/ec-registration-system/,
10,2,"J1, J2",51338-0374,https://www.molex.com/webdocs/datasheets/pdf/en-us/0513380374_PCB_RECEPTACLES.pdf,51338-0374
11,1,J3,Conn_01x04,~,GRPB041VWVN-RC
12,1,J4,SWD_10,http://infocenter.arm.com/help/topic/com.arm.doc.ddi0314h/DDI0314H_coresight_components_trm.pdf,FTSH-105-01-F-D-K
13,1,J5,Conn_Coaxial, ~,U.FL-R-SMT-1
14,1,J6,Conn_01x02,~,GRPB021VWVN-RC
15,1,L1,2.2uH,~,DFE201610E-2R2M=P2
16,1,L2,1uH,~,DFE18SAN1R0MG0L
17,1,L3,2.7nH,~,LQG15HS2N7S02D
18,1,L4,2nH,~,LQG15HS2N0S02D
19,1,R1,0,~,ERJ-3GEY0R00V
20,4,"R2, R6, R7, R8",DNP,~,
21,1,R3,0,~,ERJ-2GE0R00X
22,2,"R4, R5",10k,~,ERJ-3GEYJ103V
23,1,SW1,B3U-1000P,~,B3U-1000P
24,1,U1,APOLLO3,https://www.ambiqmicro.com/static/mcu/files/Apollo3_Blue_MCU_Data_Sheet_v0_10_0.pdf,AMA3B1KK-KBR-B0
25,1,U2,MB85RS4MT,https://www.fujitsu.com/global/documents/products/devices/semiconductor/fram/lineup/MB85RS4MT-DS501-00053-1v0-E.pdf,MB85RS4MT
26,1,Y1,ECS-320-8-47-JTN,https://nl.mouser.com/datasheet/2/122/ECX_1247-220263.pdf,ECS-320-8-47-JTN
27,1,Y2,ABS06W-32.678kHz-D-2,https://abracon.com/Resonators/ABS06W.pdf,ABS06W-32.768kHz-D-2
