Item,Qty,Reference(s),Value,Datasheet,MPN,
1,2,"C1, C22",DNP,~,,
2,3,"C2, C19, C26",10nF,~,06035C103KAT2A,
3,6,"C3, C8, C9, C13, C17, C29",100nF,~,GCM188R71H104KA57D,
4,3,"C4, C5, C20",DNP,~,,
5,1,C6,4.7uF,~,LMK107BJ475KA-T,
6,5,"C7, C10, C24, C25, C28",10uF,~,GRM188R61A106KE69D,
7,4,"C11, C12, C14, C15",1uF,~,CL10B105KP8NNNC,
8,1,C16,DNP,~,,
9,1,C18,4.7uF,~,CL21A475KOFNNNE,
10,1,C21,100uF,~,LMK325BJ107MM-T,
11,1,C23,22uF,~,CL21A226KPCLRNC,
12,1,C27,15pF,~,CC0603JRNPO9BN150,
13,1,D1,SZMM3Z5V1ST1G,https://diotec.com/tl_files/diotec/files/pdf/datasheets/mm3z2v4.pdf,SZMM3Z5V1ST1G,
14,6,"D2, D3, D4, D5, D6, D7",NSR1030QMUTWG,https://www.onsemi.com/pub/Collateral/NSR1030QMU-D.PDF,NSR1030QMUTWG,
15,3,"D8, D9, D12",BAS40-02V-V-G-08,~,BAS40-02V-V-G-08,
16,1,D10,3SMAJ5919B-TP,~,3SMAJ5919B-TP,
17,1,D11,LED,~,LB Q39G-L2OO-35-1,
18,1,F1,MF-USMF010,~,MF-USMF010,
19,7,"H1, H2, H3, H4, H5, H6, H7",MountingHole,~,,
20,2,"H8, H9",eC_Registration,https://www.eurocircuits.com/ec-registration-system/,,
21,2,"J1, J2",Conn_01x02,~,GBC02SABN-M30,
22,1,J3,52745-1097,~,52745-1097,LCD: LPM013M126A or LPM013M126C
23,1,J9,GB_CART_CON,https://aliexpress.com/item/4000290191316.html,,
24,1,J12,Conn_02x02_Odd_Even,~,M20-8760242,
25,3,"J14, J19, J20",Conn_01x03,~,M20-9990345,
26,1,J15,Conn_02x03_Odd_Even,~,M20-8760346,
27,1,J17,Conn_01x02,~,M20-9990246,
28,1,J18,Conn_02x05_Odd_Even,~,M20-9720545,
29,1,J21,USB_B_Micro,https://www.molex.com/pdm_docs/sd/1050170001_sd.pdf,1050170001,
30,3,"J22, J23, J24",Screw_Terminal_01x02,~,282837-2,
31,1,L1,744031220,~,744031220,
32,1,L2,LQH2HPN2R2MJRL,~,LQH2HPN2R2MJRL,
33,1,L3,744029100,~,744029100,
34,2,"R1, R19",2M,~,RC0603FR-072ML,
35,8,"R2, R3, R4, R5, R6, R7, R8, R9",DNP,~,,
36,11,"R10, R11, R18, R27, R28, R29, R30, R31, R32, R33, R34",1M,~,RC0603FR-071ML,
37,1,R13,8.2M,~,CRCW06038M20FKEA,
38,2,"R14, R23",4.7M,~,RC0603FR-074M7L,
39,1,R15,7.5M,~,CRCW06037M50FKEA,
40,1,R16,5.1M,~,CRCW06035M10FKEA,
41,1,R17,3.6M,~,CRCW06033M60FKEA,
42,1,R20,6.2M,~,CRCW06036M20FKEA,
43,1,R21,3M,~,CRCW06033M00FKEA,
44,1,R22,3.9M,~,CRCW06033M90FKEA,
45,1,R24,82k,~,RC0603FR-0782KL,
46,1,R25,30.1k,~,RC0603FR-0730K1L,
47,1,R26,560,~,RC0603FR-07560RL,
48,1,S1,TUD_SSL_QR,,,
49,1,S2,TUD_LOGO,,,
50,2,"SW1, SW2",SW_Push,~,1825910-7,
51,6,"SW4, SW5, SW6, SW7, SW8, SW9",EH_SWITCH,~,AFIG-0007 and RT1105AF160Q,
52,1,U1,BQ25570,http://www.ti.com/lit/ds/symlink/bq25570.pdf,BQ25570RGR,
53,2,"U2, U3",SX1503,https://nl.mouser.com/datasheet/2/761/sx150x-1283306.pdf,SX1503,
54,1,U4,TPS610995DRV,http://www.ti.com/lit/ds/symlink/tps61099.pdf,TPS610995DRV,
55,1,U5,Apollo-3-module,https://www.ambiqmicro.com/static/mcu/files/Apollo3_Blue_MCU_Data_Sheet_v0_10_0.pdf,2 x 55909-0374,
56,1,U7,TPS79301-EP,http://www.ti.com/lit/ds/symlink/tps79333-ep.pdf,TPS79301DBV,
57,6,SOLAR,AM-1417CA,https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ca_amorton_solar_cells_en.pdf,AM-1417CA,
57,1,DISPLAY,LPM013M126A,https://www.j-display.com/product/pdf/Datasheet/4LPM013M126A_specification_Ver02.pdf,LPM013M126A,
